frame,throttle,vx,vy,r,up,left,right	
319,5.0000,-116.9942,58.6160,-0.7814,1,0,1	
320,5.0000,-117.7388,59.4147,-0.7322,1,0,1	
321,5.0000,-118.3927,59.3409,-0.6747,1,0,1	
322,5.0000,-118.9390,59.2630,-0.6093,1,0,1	
323,5.0000,-119.3604,59.1841,-0.5362,1,0,1	
324,5.0000,-119.6386,58.2960,-0.4555,1,0,1	
325,5.0000,-119.7814,57.3516,-0.3815,1,0,0	
326,5.0000,-119.7966,56.3660,-0.3137,1,0,0	
327,5.0000,-119.6929,55.3508,-0.2515,1,0,0	
328,5.0000,-119.4793,54.3156,-0.1946,1,0,0	
329,5.0000,-119.1646,53.2682,-0.1425,1,0,0	
330,5.0000,-118.7574,52.2148,-0.0949,1,0,0	
331,5.0000,-118.2659,58.9066,-0.0514,1,0,0	
332,5.0000,-117.6978,57.8162,-0.0117,1,0,0	
333,5.0000,-117.0604,56.7318,0.0246,1,0,0	
334,5.0000,-116.3606,55.6554,0.0576,1,0,0	
335,5.0000,-115.6046,54.5888,0.0876,1,0,0	
336,5.0000,-114.7983,53.5329,0.1149,1,0,0	
337,5.0000,-113.9472,52.4887,0.1397,1,0,0	
338,5.0000,-113.0560,51.4564,0.1622,1,0,0	
339,5.0000,-112.1295,50.4361,0.1825,1,0,0	
340,5.0000,-111.1717,49.4280,0.2009,1,0,0	
341,5.0000,-110.1866,48.4317,0.2175,1,0,0	
342,5.0000,-109.1774,47.4470,0.2323,1,0,0	
343,5.0000,-108.1476,46.4735,0.2457,1,0,0	
344,5.0000,-107.0999,45.5108,0.2576,1,0,0	
345,5.0000,-106.0370,44.5584,0.2682,1,0,0	
346,5.0000,-104.9613,43.6158,0.2776,1,0,0	
347,5.0000,-103.8752,42.6826,0.2860,1,0,0	
348,5.0000,-102.7805,41.7581,0.2933,1,0,0	
349,5.0000,-101.6791,40.8420,0.2997,1,0,0	
350,5.0000,-100.5728,39.9338,0.3052,1,0,0	
351,5.0000,-99.4630,39.0329,0.3099,1,0,0	
352,5.0000,-98.3511,38.1391,0.3140,1,0,0	
353,5.0000,-97.2384,37.2517,0.3173,1,0,0	
354,5.0000,-96.1260,36.3706,0.3201,1,0,0	
355,5.0000,-95.0150,35.4952,0.3223,1,0,0	
356,5.0000,-93.9064,34.6252,0.3240,1,0,0	
357,5.0000,-92.8009,33.7605,0.3252,1,0,0	
358,5.0000,-91.6995,32.9005,0.3261,1,0,0	
359,5.0000,-90.6028,32.0451,0.3265,1,0,0	
360,5.0000,-89.5114,31.1941,0.3266,1,0,0	
361,5.0000,-88.4260,30.3471,0.3263,1,0,0	
362,5.0000,-87.3470,29.5040,0.3258,1,0,0	
363,5.0000,-86.2750,28.6646,0.3249,1,0,0	
364,5.0000,-85.2103,27.8288,0.3239,1,0,0	
365,5.0000,-84.1533,26.9963,0.3226,1,0,0	
366,5.0000,-83.1045,26.1670,0.3211,1,0,0	
367,5.0000,-82.0640,25.3409,0.3195,1,0,0	
368,5.0000,-81.0321,24.5177,0.3176,1,0,0	
369,5.0000,-80.0092,23.6975,0.3157,1,0,0	
370,5.0000,-78.9953,22.8800,0.3136,1,0,0	
371,5.0000,-77.9907,22.0653,0.3113,1,0,0	
372,5.0000,-76.9956,21.2532,0.3090,1,0,0	
373,5.0000,-76.0100,20.4437,0.3066,1,0,0	
374,5.0000,-75.0341,19.6368,0.3041,1,0,0	
375,5.0000,-74.0679,18.8324,0.3015,1,0,0	
376,5.0000,-73.1117,18.0305,0.2989,1,0,0	
377,5.0000,-72.1653,17.2309,0.2962,1,0,0	
378,5.0000,-71.2290,16.4338,0.2934,1,0,0	
379,5.0000,-70.3026,15.6391,0.2906,1,0,0	
380,5.0000,-69.3863,14.8468,0.2878,1,0,0	
